form	lemma	POS	morph
སྟ་	སྟ་	OTHER
		
ཅི་ག་	ཅི་ག་	NO_POS
སྣོ་	སྣོ་	NO_POS
རི་	རི་	NOUN
ཅིག་	ཅིག་	PART
ཇིག་		NON_WORD
ག་	ག་	PRON
རྟེ་		NON_WORD
ཚོ་	ཚོ་	DET
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
ལྷ་	ལྷ་	NOUN
རིམ་	རིམ་	NOUN
སྣ་	སྣ་	NOUN
ང་	ང་	PRON
ཅི་	ཅི་	NO_POS
མ་	མ་	PART
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
ཪྴརི་		NON_WORD
ཅིནོ་		NON_WORD
ཚོ་	ཚོ་	DET
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
ཇི་	ཇི་	NO_POS
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
སྣ་	སྣ་	NOUN
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
རིམ་	རིམ་	NOUN
		
ཅ་	ཅ་	OTHER
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
རི་	རི་	NOUN
རི་	རི་	NOUN
		
སྟོ་	སྟོ་	NO_POS
ཅ་	ཅ་	OTHER
ས་	གིས་	PART
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
ན་	ལ་	PART
		
རིན་	རིན་	NOUN
ཆི་	ཆི་	NO_POS
ཅི་	ཅི་	NO_POS
རི་	རི་	NOUN
མ་	མ་	PART
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
རི་	རི་	NOUN
སྒྱུ་	སྒྱུ་	NOUN
ཇི་	ཇི་	NO_POS
ཅིག་	ཅིག་	PART
ཅི་	ཅི་	NO_POS
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
		
		
ཆོ་	ཆོ་	OTHER
ཅི་	ཅི་	NO_POS
		
		
སྣེ་	སྣེ་	NO_POS
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
སྣ་	སྣ་	NOUN
༷་		NON_WORD
ཅི་	ཅི་	NO_POS
རི་	རི་	NOUN
ཚོན་	ཚོན་	NOUN
ཆི་པ་	ཆི་པ་	NO_POS
ལྷ་	ལྷ་	NOUN
ཅི་	ཅི་	NO_POS
རྩོ་		NON_WORD
ཅི་	ཅི་	NO_POS
རི་	རི་	NOUN
རུ་	ལ་	PART
ཅི་	ཅི་	NO_POS
༷་		NON_WORD
ཆོ་	ཆོ་	OTHER
		
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
ཅ་	ཅ་	OTHER
		
ཅ་	ཅ་	OTHER
མོ་	གོ་	PART
རི་	རི་	NOUN
ཚོ་	ཚོ་	DET
སྙེ་	སྙེ་	NO_POS
རྩེ་	རྩེ་	NOUN
		
ཇི་	ཇི་	NO_POS
		
ཅ་	ཅ་	OTHER
		
		
ཅི་	ཅི་	NO_POS
		
ཆོ་	ཆོ་	OTHER
ཅ་	ཅ་	OTHER
		
ཪྴ་		NON_WORD
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
་ །་		PUNCT
ཧོ་	ཧོ་	NO_POS
གཅི་	གཅི་	NO_POS
རི་	རི་	NOUN
		
ཅི་	ཅི་	NO_POS
		
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
ར་	ར་	ADP
ཅི་	ཅི་	NO_POS
ལྷ་	ལྷ་	NOUN
		
རི་	རི་	NOUN
ཁ་	ཁ་	PRON
ག་	ག་	PRON
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
མི་རི་	མི་རི་	NO_POS
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
གཅི་	གཅི་	NO_POS
ཀྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
རཇི་		NON_WORD
		
རིམ་	རིམ་	NOUN
		
ཏྲེ༷་		NON_WORD
ཅི་	ཅི་	NO_POS
མི་	མི་	PART
གྱུ་	གྱུ་	NO_POS
ཚོ་	ཚོ་	DET
སྐོ་	སྐོ་	NO_POS
རྟོ་		NON_WORD
ཅི་	ཅི་	NO_POS
རྟེ་		NON_WORD
ན་	ལ་	PART
སྒྱུ་	སྒྱུ་	NOUN
༷་		NON_WORD
། ་		PUNCT
ཚེ་	ཚེ་	NOUN
རི་	རི་	NOUN
ཅི་	ཅི་	NO_POS
རྗོ་		NON_WORD
ཙ་	ཙ་	NOUN
ཅི་	ཅི་	NO_POS
ཅ་	ཅ་	OTHER
སྒྱུ་	སྒྱུ་	NOUN
ཚོ་	ཚོ་	DET
མོ་	གོ་	PART
།་ །		PUNCT
རི་	རི་	NOUN
ཝ་	ཝ་	OTHER
།		PUNCT
ཚེ་	ཚེ་	NOUN
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
ཅི་	ཅི་	NO_POS
མེ་	མེ་	NOUN
ཅི་	ཅི་	NO_POS
སོལ་	སོལ་	VERB
མེ་རྡོ་	མེ་རྡོ་	NO_POS
		
ཉ་	ཉ་	NOUN
རྭནེ་		NON_WORD
རྡོ་	རྡོ་	NOUN
ཅ་	ཅ་	OTHER
		
བེསྡུས་		NON_WORD
		
སྣ་	སྣ་	NOUN
སྡོམུ་		NON_WORD
ཆོ་	ཆོ་	OTHER
ལྡེ་	ལྡེ་	NO_POS
		
སྙེ་	སྙེ་	NO_POS
		
སྤྲེ་	སྤྲེ་	NO_POS
དུ་	ལ་	PART
སྨུ་		NON_WORD
		
སྡོ་	སྡོ་	NO_POS
།		PUNCT
སྦྱོངལྡིསབ་		NON_WORD
		
ཚོ་	ཚོ་	DET
འི་	གི་	PART
		
སྤྲུཞིཞིཞིགཞིག༷སྨྲོབསྒྱུགམདོར་		NON_WORD
བསྡིག་	བསྡིག་	NO_POS
ཐ་	ཐ་	VERB
སྤྲུསྤྱོད་		NON_WORD
ལྡོགལྡོག་		NON_WORD
སུག་	སུག་	NOUN
སྣཞི་		NON_WORD
སྤྱ་		NON_WORD
བསུསྤྲུག་		NON_WORD
བཞི་	བཞི་	NUM
།།		PUNCT
ཀིརྟི་		NON_WORD
སྐུ་ཕྲེང་	སྐུ་ཕྲེང་	NOUN
།		PUNCT
